time,lane_id,density,entering_rate,exit_rate,vehicle_count,congested
8468.0,-1741_0,0.4245596719904339,0,1,7,1
8468.0,-1747_0,0.5144621012918715,0,2,9,1
8468.0,-1994_0,0.5118534482758621,0,0,19,1
8468.0,-873_0,0.3504672897196262,0,0,6,1
8468.0,1606_0,0.5086038823429686,0,1,12,1
8468.0,1758_0,0.4672897196261683,0,0,8,1
8468.0,2158_0,0.5279041892143862,0,0,13,1
8468.0,340_0,0.533347187291813,0,0,9,1
8469.0,-1597_0,0.4088785046728972,0,5,7,1
8469.0,-162_0,0.534425532809552,1,0,22,1
8469.0,-1739_0,0.536831872478433,0,3,8,1
8469.0,-1741_0,0.4237911750727649,0,1,7,1
8469.0,-1747_0,0.5144621012918715,0,2,9,1
8469.0,-1994_0,0.5118534482758621,0,0,19,1
8469.0,-873_0,0.3504672897196262,0,0,6,1
8469.0,1606_0,0.5086038823429686,0,1,12,1
8469.0,1758_0,0.4672897196261683,0,0,8,1
8469.0,2158_0,0.5279041892143862,0,0,13,1
8469.0,340_0,0.533347187291813,0,0,9,1
8470.0,-1597_0,0.4284306509303008,1,5,8,1
8470.0,-162_0,0.534425532809552,1,0,22,1
8470.0,-1739_0,0.4934007647711854,0,3,8,1
8470.0,-1741_0,0.4236599554762119,0,1,7,1
8470.0,-1747_0,0.5025182094997707,0,3,8,1
8470.0,-1994_0,0.5118534482758621,0,0,19,1
8470.0,-873_0,0.3504672897196262,0,0,6,1
8470.0,1606_0,0.5086038823429686,0,1,12,1
8470.0,1758_0,0.4672897196261683,0,0,8,1
8470.0,2158_0,0.5279041892143862,0,0,13,1
8470.0,340_0,0.533347187291813,0,0,9,1
8471.0,-1597_0,0.4439339142083026,1,5,8,1
8471.0,-162_0,0.534425532809552,1,0,22,1
8471.0,-1739_0,0.4934007647711854,0,3,8,1
8471.0,-1741_0,0.4235608342094957,0,1,7,1
8471.0,-1747_0,0.4828501810544641,0,3,8,1
8471.0,-1994_0,0.5118534482758621,0,0,19,1
8471.0,-873_0,0.3504672897196262,0,0,6,1
8471.0,1606_0,0.5086038823429686,0,1,12,1
8471.0,1758_0,0.4672897196261683,0,0,8,1
8471.0,2158_0,0.5279041892143862,0,0,13,1
8471.0,340_0,0.533347187291813,0,0,9,1
8472.0,-1597_0,0.4672897196261683,1,5,8,1
8472.0,-162_0,0.534425532809552,1,0,22,1
8472.0,-1739_0,0.4934007647711854,0,3,8,1
8472.0,-1741_0,0.4235458075720454,0,1,7,1
8472.0,-1747_0,0.472047948300776,0,3,8,1
8472.0,-1994_0,0.5118534482758621,0,0,19,1
8472.0,-873_0,0.3504672897196262,0,0,6,1
8472.0,1606_0,0.5086038823429686,0,1,12,1
8472.0,1758_0,0.4672897196261683,0,0,8,1
8472.0,2158_0,0.5279041892143862,0,0,13,1
8472.0,340_0,0.533347187291813,0,0,9,1
8473.0,-1025_0,0.527859535595993,1,3,9,1
8473.0,-1597_0,0.4672897196261683,1,5,8,1
8473.0,-162_0,0.534425532809552,1,0,22,1
8473.0,-1739_0,0.4934007647711854,0,3,8,1
8473.0,-1741_0,0.4235458075720454,0,1,7,1
8473.0,-1747_0,0.4572996455927747,0,3,8,1
8473.0,-1994_0,0.5118534482758621,0,0,19,1
8473.0,-873_0,0.3504672897196262,0,0,6,1
8473.0,1606_0,0.5086038823429686,0,1,12,1
8473.0,1758_0,0.4672897196261683,0,0,8,1
8473.0,2158_0,0.5279041892143862,0,0,13,1
8473.0,340_0,0.533347187291813,0,0,9,1
8474.0,-1025_0,0.5257009345794393,1,3,9,1
8474.0,-1597_0,0.4804280405981415,2,5,9,1
8474.0,-162_0,0.534425532809552,1,0,22,1
8474.0,-1739_0,0.4934007647711854,0,3,8,1
8474.0,-1741_0,0.4235458075720454,0,1,7,1
8474.0,-1747_0,0.4572996455927747,0,3,8,1
8474.0,-1994_0,0.5118534482758621,0,0,19,1
8474.0,-873_0,0.3504672897196262,0,0,6,1
8474.0,1606_0,0.5086038823429686,0,1,12,1
8474.0,1758_0,0.4672897196261683,0,0,8,1
8474.0,2158_0,0.5279041892143862,0,0,13,1
8474.0,340_0,0.533347187291813,0,0,9,1
8475.0,-1025_0,0.5257009345794393,1,3,9,1
